AFST101|Haltinner, Kristin
AGEC333|Johnson, Aaron
ALDC|Stoddart, Rick
ANTH220|Yoder, Stephen
ANTH231|Sappington, Lee
AOLL560|Kroth, Michael
AOLL574|Kroth, Michael
ARCH385|Marshall, Anne
ARCH386|Mead, Phillip
ARCH463|Mead, Phillip
ARCH504|Armpriest, Diane
ARCH568|Armpriest, Diane
ARCH570|Haglund, Bruce 
ART100|Carter, Val
ART111|Keim-Campbell, Delphine
ART121|Keim-Campbell, Delphine
ART122|Keim-Campbell, Delphine
AVS330|Murdoch, Brenda 
BIOL102|Harmon, Lisa
BIOL114|Oswald, Mary
BIOL115|Oswald, Mary
BIOL116|General 
BIOL120|Heimgartner, Candi 
BIOL121|Heimgartner, Candi 
BIOL121|Stenkamp, Deborah 
BIOL421|Hohenlohe, Paul
BIOL432|Mitchell, Diana
BIOL485|Hartzell, Patricia
BUS190|General 
BUS190|Rauk, Jan
BUS290|Eveleth, Dan
BUS411|Eveleth, Dan
BUS417|Eveleth, Dan
BUS418|Eveleth, Dan
BUS421|Shook, Steven
BUS427|McCollough, Mike
BUS463|Dacey, Raymond
CE475|Bayomy, Fouad
CE494|Fiedler, Fritz
CHE444|Kumar, Gautam
CHEM275|Storfer, Dinara
CHEM277|Hrdlicka, Patrick 
CHEM277|Magolan, Jakob 
CHEM278|Stelck, Daniel 
CHEM308|Fletcher, Rick
CHEM372|Hrdlicka, Patrick 
CHEM372|Magolan, Jakob 
CHEM374|Williams, Richard
COMM101|Carter, Diane
COMM233|Carter, Diane
COMM410|Folwell, Annette
CRP000|General 
DAN100|Meenan, Melanie 
DAN321|Baggs, Belle
DAN360|Meenan, Melanie
ECON201|Peterson, Steven
ECON352|Ramirez, Stefanie
EDCI201|Miller, Brant
EDCI301|Spence, Ingrid
EDCI302|Gathercoal, Paul
EDCI321|Vaughn, Margaret
EDCI322|Gilmore, Deanna
EDCI327|Adams, Anne
EDCI328|Shephard, Sandra
EDCI431|Darragh, Janine
EDCI434|Yopp, David
EDSP423|Hollingshead, Aleksandra
EM510|Lieske, Sandy
EM582|Lieske, Sandy
EMBA531|Folwell, Annette
EMBA542|Costello, Patrick
EMBA544|Grieb, Terrance
EMBA545|Lawrence, John Joseph
EMBA546|Bailey, Jeffrey
ENGL101|Kirchmeier, Barbara
ENGL101|Roglin, Gabrielle
ENGL102|Kirchmeier, Barbara
ENGL102|Yamaguchi, Yukiho
ENGL292|Orozco, Daniel
ENGL342|Arthur, Victoria
ENGL345|McFarland, Ronald 
ENGL504|Kelly-Riley, Diane
ENGL508|General
ENGR240|Hefeida, Mohamed
ENGR335|Admassu, Wudneh
ENGR360|Lowry, Michael
ENVS101|Mahler, Bob
FCS205|Brown, Katie
FCS240|Chapman, Erin
FCS323|Wahl, Lori
FCS404|Wahl, Lori
FCS419|Evenson, Sandra
FCS424|Wahl, Lori
FCS497|Price, Elizabeth
FLEN313|Nelson, Sarah
FOR275|Kimsey, Mark
FOR375|Kolden, Crystal
FOR462|Link, Timothy
FOR468|Newcombe, George
FOR484|Becker, Dennis
FREN202|Perriguey, Anne
FREN307|Perriguey, Anne
FREN407|Nelson, Sarah
FS432|Joyner, Helen
FS462|Lin, Hui-Mei
GENE314|Kuhle, Joseph 
GEOG483|Humes, Karen
GEOG493|Hicke, Jeffrey
GEOG583|Humes, Karen
GEOL111|Baker, Leslie
GEOL335|Bartholomaus, Timothy
GEOL345|Stanley, Jessica
GEOL499|Mittelstaedt, Eric
H&S451|Grindley, Emma
HIST213|Amato, Matthew
HIST315|Graden, Dale
HIST319|Amato, Matthew
HIST331|Kittell, Ellen
HIST448|Kittell, Ellen
INTR101|Bertlin, Shawna
ISEM101|Blevins, Kathryn
ISEM101|James, Benjamin
ISEM101|Roy, Alyson
ISEM301|Roon, David
JAMM100|Smith, Steven
JAMM252|Tallent, Rebecca
JAMM275|Bennett, Denise
JAMM341|Smith, Steven A
JAMM448|Blevins, Kathryn
JAMM458|Tallent, Rebecca
JAMM477|McFarland, Ronald 
LA000|Baird, Lynn
LARC380|Austin, Gary
LIBSCI404|Attebury, Ramirose
LIBSCI414|Henrich, Kristin
LIBSCI420|Attebury, Ramirose
LIBSCI504|Attebury, Ramirose
LIBSCI514|Henrich, Kristin
LIBSCI518|Attebury, Ramirose
MATH176|Whelhan, Manuel
MATH386|Johnson-Leung, Jennifer
MATH388|Ely, Robert
MATH428|Barannyk, Lyudmyla
MKTG321|Sisodiya, Sanjay
MKTG425|McCollough, Mike
MKTG495|Sisodiya, Sanjay
MMBB250|Patricia Hartzell
MMBB300|Cole, Douglas 
MMBB380|Cole, Douglas 
MUSA115|Garrison, Leonard
MUSA124|Garrison, Leonard
MUSA134|Garrison, Leonard
MUSA324|Garrison, Leonard
MUSA334|Garrison, Leonard
MUSA534|Garrison, Leonard
MUSH456|Murphy, Michael
MUST585|Murphy, Michael
NRS364|Wilson, Patrick
NRS383|Latta, Gregory
NRS404|Meddens, Arjan
NRS462|Wilson, Patrick
NRS475|Russell, Micah
NRS504|Meddens, Arjan
PEP132|Egan, Catherine
PEP493|Vella, Chantal 
PHIL208|Anderson, Janice
PHIL302|Anderson, Janice
PHIL426|Lund, William
PHIL427|Lund, William
PHYS111|Stumpf, Bernhard 
PHYS112|Stumpf, Bernhard 
PLSC205|Fu, Daolin
POLS101|Lund, William
POLS208|Lund, William
POLS333|Lund, William
POLS426|Lund, William
POLS487|Carlson, Lisa
POLS504|McLeod, Aman
POLS558|Shrestha, Manoj
Pre-Med/MCAT100|General
PSYC305|Derrick, Jamie
PSYC311|Richardson, Clarissa
PSYCH320|Craig, Traci
PSYC372|Meier, Steven
PSYC456|Kersten, Michael
RELS133|Jenkins, Kip
RELS302|Anderson, Janice
RMAT495|Sisodiya, Sanjay
SOC101|Babcock, Virginia
SOC101|Haltinner, Kristin
SOC101|Hormel, Leontina
SOC101|Thorne, Deborah
SOC301|Yoder, Stephen
SOC325|Babcock, Virginia
SOIL205|Johnson-Maynard, Jodi
SOIL422|Strawn, Daniel
SOIL454|McDaniel, Paul
span102|Sebastian Garcia, Janire
SPAN306|Kerr, Ashley
STAT251|Johnson,Timothy
STAT251|Lee, Stephen
STAT251|Stauffer, Susan
STAT401|Dennis, Brian
STAT422|Williams, Chris
STAT431|Shrum, Renae
STAT597|Williams, Chris
THE101|King, Shea
WLF220|Vierling, Kerri
WLF440|Roon, David
